id,DateFrom,DateTo,min,mean,max
1,2021-04-01T00:00:00Z,2021-04-02T00:00:00Z,NaN,NaN,NaN
1,2021-04-02T00:00:00Z,2021-04-03T00:00:00Z,NaN,NaN,NaN
1,2021-04-03T00:00:00Z,2021-04-04T00:00:00Z,1897.746582,1901.229495,1904.927246
1,2021-04-04T00:00:00Z,2021-04-05T00:00:00Z,NaN,NaN,NaN
1,2021-04-05T00:00:00Z,2021-04-06T00:00:00Z,NaN,NaN,NaN
1,2021-04-06T00:00:00Z,2021-04-07T00:00:00Z,1862.044067,1865.887324,1889.152466
1,2021-04-07T00:00:00Z,2021-04-08T00:00:00Z,NaN,NaN,NaN
1,2021-04-08T00:00:00Z,2021-04-09T00:00:00Z,NaN,NaN,NaN
1,2021-04-09T00:00:00Z,2021-04-10T00:00:00Z,NaN,NaN,NaN
1,2021-04-10T00:00:00Z,2021-04-11T00:00:00Z,1839.775757,1860.76867,1874.682129
1,2021-04-11T00:00:00Z,2021-04-12T00:00:00Z,NaN,NaN,NaN
1,2021-04-12T00:00:00Z,2021-04-13T00:00:00Z,1887.18335,1895.27647,1901.557739
1,2021-04-14T00:00:00Z,2021-04-15T00:00:00Z,1899.87915,1902.701901,1905.901245
1,2021-04-15T00:00:00Z,2021-04-16T00:00:00Z,NaN,NaN,NaN
1,2021-04-16T00:00:00Z,2021-04-17T00:00:00Z,NaN,NaN,NaN
1,2021-04-17T00:00:00Z,2021-04-18T00:00:00Z,NaN,NaN,NaN
1,2021-04-18T00:00:00Z,2021-04-19T00:00:00Z,NaN,NaN,NaN
1,2021-04-19T00:00:00Z,2021-04-20T00:00:00Z,NaN,NaN,NaN
1,2021-04-20T00:00:00Z,2021-04-21T00:00:00Z,NaN,NaN,NaN
1,2021-04-21T00:00:00Z,2021-04-22T00:00:00Z,NaN,NaN,NaN
1,2021-04-22T00:00:00Z,2021-04-23T00:00:00Z,NaN,NaN,NaN
1,2021-04-23T00:00:00Z,2021-04-24T00:00:00Z,NaN,NaN,NaN
1,2021-04-24T00:00:00Z,2021-04-25T00:00:00Z,1872.134277,1879.275532,1897.841431
1,2021-04-25T00:00:00Z,2021-04-26T00:00:00Z,1891.740967,1905.901195,1913.58252
1,2021-04-26T00:00:00Z,2021-04-27T00:00:00Z,1874.56189,1891.302188,1905.390015
1,2021-04-27T00:00:00Z,2021-04-28T00:00:00Z,1872.528442,1877.440669,1893.651978
1,2021-04-28T00:00:00Z,2021-04-29T00:00:00Z,NaN,NaN,NaN
1,2021-04-29T00:00:00Z,2021-04-30T00:00:00Z,1874.065186,1874.802326,1877.069702
1,2021-04-30T00:00:00Z,2021-05-01T00:00:00Z,NaN,NaN,NaN
1,2021-05-01T00:00:00Z,2021-05-02T00:00:00Z,NaN,NaN,NaN
1,2021-05-02T00:00:00Z,2021-05-03T00:00:00Z,1822.515137,1853.673332,1873.809937
1,2021-05-03T00:00:00Z,2021-05-04T00:00:00Z,NaN,NaN,NaN
1,2021-05-04T00:00:00Z,2021-05-05T00:00:00Z,NaN,NaN,NaN
1,2021-05-05T00:00:00Z,2021-05-06T00:00:00Z,NaN,NaN,NaN
1,2021-05-06T00:00:00Z,2021-05-07T00:00:00Z,NaN,NaN,NaN
1,2021-05-07T00:00:00Z,2021-05-08T00:00:00Z,NaN,NaN,NaN
1,2021-05-08T00:00:00Z,2021-05-09T00:00:00Z,NaN,NaN,NaN
1,2021-05-09T00:00:00Z,2021-05-10T00:00:00Z,NaN,NaN,NaN
1,2021-05-10T00:00:00Z,2021-05-11T00:00:00Z,NaN,NaN,NaN
1,2021-05-11T00:00:00Z,2021-05-12T00:00:00Z,NaN,NaN,NaN
1,2021-05-12T00:00:00Z,2021-05-13T00:00:00Z,NaN,NaN,NaN
1,2021-05-13T00:00:00Z,2021-05-14T00:00:00Z,NaN,NaN,NaN
1,2021-05-14T00:00:00Z,2021-05-15T00:00:00Z,NaN,NaN,NaN
1,2021-05-15T00:00:00Z,2021-05-16T00:00:00Z,NaN,NaN,NaN
1,2021-05-16T00:00:00Z,2021-05-17T00:00:00Z,NaN,NaN,NaN
1,2021-05-17T00:00:00Z,2021-05-18T00:00:00Z,NaN,NaN,NaN
1,2021-05-18T00:00:00Z,2021-05-19T00:00:00Z,NaN,NaN,NaN
1,2021-05-19T00:00:00Z,2021-05-20T00:00:00Z,NaN,NaN,NaN
